# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
5,7852.15,12.75,1.77,1263.69,467.51
8,12528.77,21.52,2.10,1743.92,664.24
11,17185.59,32.34,2.22,2143.64,852.70
14,22117.69,42.74,2.37,2511.22,1033.18
17,27363.28,51.07,2.44,2858.42,1226.61
20,31045.67,55.07,2.48,3083.90,1361.57
23,35872.29,58.68,2.32,3357.08,1538.04
27,42473.96,61.44,1.87,3698.72,1772.95
33,52066.73,64.10,5.56,4144.05,2117.42
42,67247.59,66.10,5.76,4760.35,2680.30
60,94934.27,68.00,6.40,5719.51,3677.70
