# data_id,Time(s),FLOP(M),memory(M)
4,1.79,952.32,278.97
8,2.32,1551.96,344.76
12,2.72,2040.39,384.40
16,3.14,2464.37,428.73
20,3.78,2843.49,468.07
24,6.57,3190.48,529.21
28,6.96,3512.30,552.37
32,7.38,3813.43,608.74
36,7.80,4097.80,641.56
40,8.01,4367.12,666.95
44,8.32,4624.48,689.88
48,8.54,4871.39,700.03
52,8.67,5107.00,762.58
56,8.86,5334.43,1042.89
60,8.72,5553.67,836.97
64,8.57,5766.24,872.52
68,7.95,5971.87,868.32
72,6.40,6172.03,910.16
76,5.88,6366.04,964.22
80,5.53,6555.84,960.37
84,5.61,6741.10,950.03
88,4.33,6921.69,996.50
92,3.72,7098.23,1000.05
96,3.73,7271.84,1013.55
100,2.58,7441.34,1008.77
