# data_id,Time(s),FLOP(M),memory(M)
5,2.32,1263.69,285.60
8,3.05,1743.92,334.05
11,2.83,2143.64,389.34
14,3.07,2511.22,420.69
17,3.30,2858.42,458.72
20,2.78,3083.90,477.46
23,2.66,3357.08,505.51
27,2.44,3698.72,589.28
33,2.11,4144.05,621.68
42,0.94,4760.35,704.78
60,1.09,5719.51,784.59
