# data_id,Time(s),FLOP(M),memory(M)
4,2.02,1082.80,275.92
8,2.73,1600.55,329.63
12,2.88,2145.82,397.48
16,3.25,2621.39,453.02
20,3.42,3004.88,485.75
24,3.62,3401.85,540.84
28,3.85,3795.94,613.60
32,4.06,4120.07,793.59
37,4.23,4472.72,823.83
41,4.27,4721.45,805.17
45,4.44,4985.87,847.34
50,4.52,5256.56,893.42
55,3.56,5541.20,862.73
60,3.67,5835.76,871.02
63,3.70,5982.95,882.07
69,3.35,6272.24,937.54
75,3.00,6569.44,954.63
81,3.10,6825.68,1006.00
87,1.52,7042.08,973.19
92,1.40,7210.77,1101.09
97,1.41,7365.40,1141.55
