# data_id,Time(s),FLOP(M),memory(M)
4,2.43,952.32,268.17
8,2.69,1551.96,342.29
12,2.87,2040.39,393.11
16,3.20,2464.37,456.77
20,3.44,2843.49,496.15
24,3.61,3190.48,538.29
28,3.75,3512.30,583.00
32,4.04,3813.43,614.82
36,4.08,4097.80,644.05
40,4.23,4367.12,654.49
44,4.43,4624.48,689.71
48,4.59,4871.39,736.17
52,4.66,5107.00,751.17
56,4.79,5334.43,774.44
60,4.52,5553.67,787.54
64,4.64,5766.24,808.35
68,4.21,5971.87,851.63
72,3.90,6172.03,869.03
76,2.83,6366.04,953.89
80,2.90,6555.84,969.35
84,2.94,6741.10,958.30
88,2.07,6921.69,1056.85
92,1.40,7098.23,1026.51
96,1.39,7271.84,1260.92
100,1.45,7441.34,1047.56
