# data_id,Time(s),FLOP(M),memory(M)
4,4.74,1082.80,287.79
8,5.42,1600.55,320.23
12,5.76,2145.82,392.97
16,6.37,2621.39,443.67
20,6.80,3004.88,485.32
24,7.13,3401.85,545.42
28,7.40,3795.94,600.45
32,7.58,4120.07,638.47
37,7.93,4472.72,672.30
41,8.44,4721.45,685.82
45,8.44,4985.87,737.70
50,8.02,5256.56,792.49
55,8.00,5541.20,784.87
60,7.41,5835.76,843.36
63,5.83,5982.95,874.08
69,5.75,6272.24,930.77
75,5.46,6569.44,963.42
81,5.47,6825.68,976.09
87,4.09,7042.08,1031.49
92,3.73,7210.77,1022.58
97,3.74,7365.40,1138.42
