# data_id,Time(s),FLOP(M),memory(M)
4,2.37,952.32,264.23
8,2.73,1551.96,330.80
12,2.97,2040.39,393.59
16,3.20,2464.37,442.28
20,3.54,2843.49,462.86
24,3.73,3190.48,521.28
28,3.89,3512.30,580.75
32,3.96,3813.43,664.16
36,4.10,4097.80,721.69
40,4.35,4367.12,732.73
44,4.45,4624.48,767.38
48,4.49,4871.39,742.26
52,4.68,5107.00,773.97
56,4.77,5334.43,804.78
60,3.72,5553.67,865.00
64,3.72,5766.24,973.50
68,3.71,5971.87,866.51
72,3.67,6172.03,928.07
76,3.21,6366.04,942.29
80,2.84,6555.84,923.60
84,2.92,6741.10,1016.55
88,2.73,6921.69,983.49
92,1.40,7098.23,934.13
96,1.44,7271.84,962.96
100,1.44,7441.34,1033.24
