# data_id,Time(s),FLOP(M),memory(M)
4,5.87,1082.80,273.25
8,7.23,1600.55,324.50
12,8.28,2145.82,395.65
16,8.85,2621.39,429.50
20,9.58,3004.88,507.43
24,10.20,3401.85,523.19
28,10.33,3795.94,564.81
32,9.84,4120.07,599.61
37,9.69,4472.72,627.03
41,9.43,4721.45,676.02
45,9.58,4985.87,730.22
50,9.91,5256.56,739.63
55,9.30,5541.20,776.73
60,8.30,5835.76,780.03
63,7.36,5982.95,793.28
69,7.01,6272.24,868.18
75,5.53,6569.44,969.78
81,5.71,6825.68,913.81
87,5.43,7042.08,994.07
92,5.52,7210.77,986.00
97,5.02,7365.40,1075.05
