# data_id,Time(s),FLOP(M),memory(M)
4,3.55,2402.93,317.32
8,4.17,3555.97,373.71
12,4.62,4770.95,404.87
16,5.07,5831.06,563.47
20,5.43,6686.05,497.99
24,5.84,7571.23,529.35
28,6.12,8449.96,818.15
32,6.42,9172.91,843.69
37,6.72,9959.60,851.18
41,7.00,10514.56,862.70
45,7.16,11104.58,870.53
50,7.42,11708.67,882.15
55,7.45,12343.94,878.22
60,7.33,13001.32,888.29
63,6.62,13329.82,905.34
69,6.66,13975.38,950.00
75,5.68,14638.49,1363.00
81,5.71,15210.24,1130.60
87,4.82,15693.06,1182.26
92,4.92,16069.40,1185.24
97,4.73,16414.37,1188.62
