# data_id,Time(s),FLOP(M),memory(M)
4,4.59,2402.93,301.50
8,5.64,3555.97,356.49
12,6.45,4770.95,405.31
16,7.18,5831.06,464.97
20,7.53,6686.05,539.14
24,8.05,7571.23,559.04
28,8.60,8449.96,595.84
32,8.44,9172.91,693.72
37,8.32,9959.60,688.39
41,8.26,10514.56,715.50
45,8.26,11104.58,741.03
50,8.60,11708.67,784.17
55,8.72,12343.94,998.06
60,9.03,13001.32,831.66
63,7.85,13329.82,849.12
69,7.34,13975.38,901.27
75,6.41,14638.49,961.53
81,6.12,15210.24,977.91
87,5.67,15693.06,975.61
92,4.96,16069.40,1019.13
97,5.01,16414.37,1021.90
