# data_id,Time(s),FLOP(M),memory(M)
4,2.71,2112.86,316.17
8,5.64,3448.33,402.03
12,6.27,4536.66,432.49
16,7.02,5481.64,463.06
20,7.39,6326.82,505.41
24,8.03,7100.50,536.30
28,8.41,7818.14,579.37
32,8.72,8489.74,604.48
36,8.50,9123.99,677.15
40,8.10,9724.73,751.33
44,8.30,10298.82,695.03
48,8.37,10849.61,722.10
52,8.58,11375.25,750.16
56,8.84,11882.63,752.47
60,8.20,12371.79,797.24
64,7.59,12846.07,799.18
68,6.55,13304.87,831.07
72,6.00,13751.49,853.47
76,5.81,14184.38,968.60
80,4.94,14607.89,983.72
84,4.69,15021.25,997.47
88,4.46,15424.21,1056.43
92,3.76,15818.14,1083.87
96,3.84,16205.52,1079.93
100,3.82,16583.74,1104.11
