# data_id,Time(s),FLOP(M),memory(M)
4,1.65,2112.86,286.63
8,1.75,3448.33,350.92
12,1.91,4536.66,440.48
16,2.22,5481.64,468.58
20,2.50,6326.82,499.97
24,2.74,7100.50,568.64
28,2.93,7818.14,580.23
32,3.09,8489.74,593.30
36,3.24,9123.99,635.61
40,3.45,9724.73,674.42
44,3.49,10298.82,706.53
48,3.69,10849.61,741.59
52,3.71,11375.25,974.64
56,3.92,11882.63,984.26
60,3.98,12371.79,984.48
64,4.08,12846.07,982.97
68,4.21,13304.87,1014.94
72,3.97,13751.49,1026.77
76,4.02,14184.38,1327.11
80,3.95,14607.89,1307.78
84,3.52,15021.25,1329.14
88,3.11,15424.21,1340.37
92,2.81,15818.14,1349.09
96,2.85,16205.52,1432.91
100,2.93,16583.74,1272.09
