# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6350.89,8.29,1.83,2112.86,442.83
8,12702.22,17.21,2.14,3448.33,669.17
12,19053.57,30.30,2.23,4536.66,929.66
16,25404.93,42.61,2.51,5481.64,1162.96
20,31756.39,50.73,2.71,6326.82,1394.42
24,38107.63,56.13,2.94,7100.50,1625.78
28,44458.99,59.09,3.12,7818.14,1861.51
32,50810.37,60.98,3.20,8489.74,2095.53
36,57161.70,62.33,3.37,9123.99,2319.89
40,63513.15,63.66,3.54,9724.73,2573.38
44,69864.44,64.74,3.66,10298.82,2789.63
48,76215.77,65.69,3.75,10849.61,3012.27
52,82567.15,66.07,3.87,11375.25,3262.96
56,88918.48,66.62,4.00,11882.63,3487.16
60,95269.93,67.08,4.01,12371.79,3733.20
64,101621.22,67.44,4.14,12846.07,3959.46
68,107972.54,67.78,3.12,13304.87,4224.48
72,114323.92,68.10,4.69,13751.49,4465.27
76,120675.28,68.34,4.96,14184.38,4661.50
80,127026.69,68.42,5.09,14607.89,4867.67
84,133377.98,68.49,4.40,15021.25,5116.44
88,139729.34,68.63,4.44,15424.21,5385.64
92,146080.69,68.68,4.13,15818.14,5578.56
96,152432.02,68.79,4.10,16205.52,5836.35
100,158783.87,68.79,4.18,16583.74,6049.46
