# data_id,Time(s),FLOP(M),memory(M)
4,1.47,2112.86,288.14
8,1.75,3448.33,351.60
12,2.02,4536.66,437.01
16,2.31,5481.64,526.48
20,2.42,6326.82,548.77
24,2.87,7100.50,571.96
28,5.17,7818.14,592.95
32,5.62,8489.74,620.61
36,5.82,9123.99,656.82
40,6.10,9724.73,949.89
44,6.33,10298.82,699.52
48,6.52,10849.61,729.02
52,6.79,11375.25,756.86
56,6.90,11882.63,777.10
60,7.15,12371.79,800.24
64,7.40,12846.07,841.48
68,7.48,13304.87,873.45
72,7.32,13751.49,944.93
76,7.28,14184.38,910.05
80,7.13,14607.89,919.60
84,6.20,15021.25,974.68
88,5.13,15424.21,1011.54
92,5.17,15818.14,973.87
96,4.94,16205.52,1040.84
100,5.02,16583.74,1053.18
