# data_id,Time(s),FLOP(M),memory(M)
4,1.54,2402.93,298.69
8,1.74,3555.97,352.98
12,2.03,4770.95,402.11
16,2.31,5831.06,535.51
20,2.57,6686.05,498.35
24,2.78,7571.23,542.75
28,2.95,8449.96,591.52
32,3.11,9172.91,675.46
37,3.35,9959.60,680.72
41,3.48,10514.56,716.24
45,3.59,11104.58,720.11
50,3.81,11708.67,749.60
55,3.93,12343.94,772.68
60,4.02,13001.32,831.57
63,3.82,13329.82,839.91
69,3.95,13975.38,917.70
75,3.89,14638.49,917.70
81,3.42,15210.24,981.81
87,2.79,15693.06,995.47
92,2.83,16069.40,1010.25
97,2.94,16414.37,1019.65
