# data_id,k_KNN,IOU(%)
4,5,10.79
8,5,19.06
12,5,32.37
16,5,44.70
20,5,52.80
24,5,57.75
28,5,60.59
32,5,62.40
36,5,64.06
40,5,65.08
44,5,66.06
48,5,66.67
52,5,67.47
56,5,67.75
60,5,68.14
64,5,68.66
68,5,68.73
72,5,69.05
76,5,69.20
80,5,69.31
84,5,69.41
88,5,69.60
92,5,69.59
96,5,69.64
100,5,69.63
