# data_id,k_KNN,IOU(%)
5,2,13.58
8,2,23.60
11,2,34.70
14,2,45.47
17,2,52.99
20,2,55.96
23,2,59.00
27,2,61.35
33,2,63.75
42,2,66.14
60,2,68.33
