# data_id,k_KNN,IOU(%)
4,4,10.85
8,4,20.08
12,4,34.18
16,4,48.26
20,4,55.96
24,4,59.72
28,4,61.70
32,4,62.99
37,4,65.12
41,4,65.48
45,4,66.59
50,4,67.44
55,4,68.19
60,4,68.54
63,4,68.81
69,4,69.07
75,4,69.48
81,4,69.38
87,4,69.50
92,4,69.54
97,4,69.49
