# data_id,k_KNN,IOU(%)
4,3,10.68
8,3,18.91
12,3,32.18
16,3,44.57
20,3,52.74
24,3,57.73
28,3,60.57
32,3,62.39
36,3,64.06
40,3,65.09
44,3,66.06
48,3,66.69
52,3,67.49
56,3,67.77
60,3,68.16
64,3,68.67
68,3,68.74
72,3,69.06
76,3,69.21
80,3,69.32
84,3,69.42
88,3,69.61
92,3,69.60
96,3,69.65
100,3,69.64
