# data_id,k_KNN,IOU(%)
4,4,10.73
8,4,18.92
12,4,32.06
16,4,44.26
20,4,52.38
24,4,57.40
28,4,60.28
32,4,62.12
36,4,63.81
40,4,64.87
44,4,65.85
48,4,66.49
52,4,67.29
56,4,67.58
60,4,67.97
64,4,68.51
68,4,68.58
72,4,68.90
76,4,69.06
80,4,69.17
84,4,69.27
88,4,69.47
92,4,69.45
96,4,69.50
100,4,69.49
