# data_id,k_KNN,IOU(%)
4,3,10.87
8,3,20.05
12,3,34.44
16,3,48.75
20,3,56.40
24,3,60.15
28,3,62.06
32,3,63.35
37,3,65.43
41,3,65.77
45,3,66.85
50,3,67.66
55,3,68.38
60,3,68.71
63,3,68.96
69,3,69.23
75,3,69.63
81,3,69.53
87,3,69.64
92,3,69.69
97,3,69.64
