# data_id,k_KNN,IOU(%)
5,3,13.91
8,3,23.96
11,3,35.39
14,3,46.43
17,3,53.88
20,3,56.67
23,3,59.64
27,3,61.92
33,3,64.20
42,3,66.51
60,3,68.64
