# data_id,k_KNN,IOU(%)
5,4,13.88
8,4,23.92
11,4,35.13
14,4,45.97
17,4,53.40
20,4,56.26
23,4,59.26
27,4,61.56
33,4,63.91
42,4,66.27
60,4,68.45
