# data_id,k_KNN,IOU(%)
4,2,10.40
8,2,18.62
12,2,31.53
16,2,43.71
20,2,51.95
24,2,57.08
28,2,60.03
32,2,61.93
36,2,63.63
40,2,64.72
44,2,65.72
48,2,66.38
52,2,67.17
56,2,67.47
60,2,67.86
64,2,68.40
68,2,68.48
72,2,68.80
76,2,68.97
80,2,69.08
84,2,69.19
88,2,69.39
92,2,69.37
96,2,69.42
100,2,69.41
