# data_id,k_KNN,IOU(%)
4,2,10.56
8,2,19.66
12,2,33.71
16,2,47.83
20,2,55.60
24,2,59.42
28,2,61.45
32,2,62.76
37,2,64.91
41,2,65.29
45,2,66.41
50,2,67.27
55,2,68.04
60,2,68.40
63,2,68.66
69,2,68.96
75,2,69.36
81,2,69.28
87,2,69.39
92,2,69.44
97,2,69.41
