# data_id,k_KNN,IOU(%)
5,5,13.98
8,5,24.05
11,5,35.48
14,5,46.47
17,5,53.89
20,5,56.67
23,5,59.63
27,5,61.89
33,5,64.18
42,5,66.50
60,5,68.63
