# data_id,k_KNN,IOU(%)
4,1,10.73
8,1,19.75
12,1,34.21
16,1,48.62
20,1,56.28
24,1,60.04
28,1,61.98
32,1,63.28
37,1,65.35
41,1,65.72
45,1,66.80
50,1,67.63
55,1,68.35
60,1,68.70
63,1,68.96
69,1,69.25
75,1,69.68
81,1,69.60
87,1,69.73
92,1,69.80
97,1,69.78
