# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
5,7852.15,11.53,0.92,1753.85,477.63
8,12528.77,18.81,1.21,2420.66,667.88
11,17185.59,29.69,1.38,2975.48,858.95
14,22117.69,39.91,1.55,3485.53,1037.82
17,27363.28,47.16,1.73,3967.17,1236.08
20,31045.67,50.83,1.86,4279.78,1369.89
23,35872.29,54.06,1.97,4658.47,1542.01
27,42473.96,57.01,2.09,5132.01,1785.67
33,52066.73,60.33,2.13,5749.15,2148.67
42,67247.59,63.73,1.84,6603.10,2691.71
60,94934.27,66.27,3.32,7931.81,3696.36
