# data_id,k_KNN,IOU(%)
4,3,10.44
8,3,18.28
12,3,32.68
16,3,44.64
20,3,50.35
24,3,56.33
28,3,59.57
32,3,61.44
36,3,63.05
40,3,64.18
44,3,65.26
48,3,66.52
52,3,67.83
56,3,68.38
60,3,69.49
64,3,69.71
68,3,70.50
72,3,70.97
76,3,71.04
80,3,71.38
84,3,71.59
88,3,71.90
92,3,71.64
96,3,71.71
100,3,71.77
