# data_id,Time(s),FLOP(M),memory(M)
4,0.30,13820.87,541.10
8,0.51,22436.77,755.24
12,0.72,29546.04,849.19
16,0.90,35695.36,1460.72
20,1.07,41143.60,1310.51
24,1.23,46168.44,1200.34
28,1.34,50822.69,1286.66
32,1.42,55144.25,1367.85
36,1.68,59216.01,1514.26
40,1.64,63086.20,1656.90
44,1.84,66794.20,1779.07
48,1.93,70372.69,1921.22
52,2.07,73774.64,1628.72
56,2.24,77043.15,1746.76
60,2.30,80203.22,1770.55
64,2.54,83266.20,1918.72
68,2.62,86221.15,2568.19
72,2.60,89099.35,2681.76
76,2.74,91891.19,2196.00
80,2.92,94590.79,2500.15
84,3.00,97250.69,2162.36
88,3.03,99846.36,2303.19
92,3.17,102362.96,2670.35
96,3.17,104849.21,2791.69
100,3.26,107287.31,2682.08
