# data_id,Time(s),FLOP(M),memory(M)
4,0.88,1322.63,251.09
8,1.25,2156.61,307.50
12,1.53,2835.11,341.31
16,1.66,3423.61,370.38
20,1.74,3949.60,393.23
24,2.00,4430.80,424.51
28,2.11,4876.93,461.06
32,3.09,5294.28,482.00
36,4.61,5688.28,518.52
40,4.79,6061.37,524.32
44,5.03,6417.80,616.60
48,5.11,6759.68,676.18
52,5.21,7085.93,686.81
56,5.42,7400.79,694.36
60,5.52,7704.30,702.54
64,5.68,7998.54,718.05
68,5.87,8283.15,726.83
72,5.96,8560.17,799.51
76,6.07,8828.66,808.61
80,6.15,9091.30,897.95
84,6.27,9347.63,744.32
88,5.99,9597.50,757.79
92,5.72,9841.76,824.33
96,5.55,10081.92,835.51
100,5.41,10316.41,767.90
