# data_id,Time(s),FLOP(M),memory(M)
4,0.91,1504.47,256.63
8,1.17,2224.22,296.20
12,1.38,2982.12,363.29
16,1.62,3642.99,383.56
20,1.80,4175.21,443.11
24,2.04,4725.56,442.63
28,2.18,5271.09,471.60
32,2.31,5720.04,499.64
37,2.51,6208.56,537.23
41,2.60,6553.19,590.17
45,2.70,6919.54,565.00
50,2.73,7294.64,814.10
55,2.91,7688.93,613.97
60,2.98,8096.64,694.63
63,3.04,8300.33,690.96
69,3.26,8700.37,672.65
75,3.28,9110.86,692.05
81,2.82,9464.92,743.61
87,2.82,9764.00,723.24
92,2.85,9997.25,747.08
97,2.89,10211.27,762.56
