# data_id,Time(s),FLOP(M),memory(M)
4,2.29,1504.47,270.68
8,3.31,2224.22,314.60
12,3.72,2982.12,369.50
16,4.25,3642.99,388.53
20,4.73,4175.21,420.45
24,5.02,4725.56,445.24
28,5.39,5271.09,477.88
32,5.69,5720.04,507.69
37,6.04,6208.56,539.55
41,6.24,6553.19,668.54
45,6.35,6919.54,645.59
50,6.54,7294.64,587.03
55,6.25,7688.93,782.32
60,6.26,8096.64,834.68
63,6.14,8300.33,841.13
69,6.16,8700.37,794.61
75,6.36,9110.86,821.38
81,6.55,9464.92,774.31
87,6.70,9764.00,790.71
92,6.33,9997.25,794.29
97,6.31,10211.27,899.12
