# data_id,Time(s),FLOP(M),memory(M)
4,2.00,1504.47,262.15
8,2.33,2224.22,300.86
12,2.71,2982.12,346.55
16,3.06,3642.99,383.42
20,3.26,4175.21,413.18
24,3.59,4725.56,442.17
28,3.84,5271.09,463.08
32,4.14,5720.04,497.49
37,4.26,6208.56,552.87
41,4.47,6553.19,589.92
45,4.60,6919.54,627.83
50,4.81,7294.64,623.22
55,4.99,7688.93,642.73
60,5.10,8096.64,647.18
63,5.30,8300.33,678.02
69,5.47,8700.37,703.00
75,5.59,9110.86,707.19
81,5.64,9464.92,770.82
87,5.55,9764.00,1028.49
92,5.54,9997.25,747.91
97,5.48,10211.27,903.55
