# data_id,Time(s),FLOP(M),memory(M)
4,0.96,1322.63,255.06
8,1.38,2156.61,291.81
12,1.45,2835.11,335.24
16,1.63,3423.61,374.66
20,1.85,3949.60,401.03
24,1.97,4430.80,427.17
28,2.14,4876.93,457.86
32,2.22,5294.28,488.22
36,2.42,5688.28,516.55
40,2.49,6061.37,537.48
44,2.59,6417.80,568.79
48,2.75,6759.68,567.75
52,2.82,7085.93,594.53
56,2.86,7400.79,631.68
60,2.96,7704.30,642.77
64,3.08,7998.54,633.55
68,3.16,8283.15,725.91
72,3.18,8560.17,697.78
76,3.30,8828.66,704.30
80,3.40,9091.30,729.17
84,3.45,9347.63,749.69
88,3.23,9597.50,757.73
92,3.34,9841.76,768.31
96,3.43,10081.92,821.45
100,3.39,10316.41,939.48
