# data_id,Time(s),FLOP(M),memory(M)
4,1.01,1504.47,255.61
8,1.21,2224.22,303.76
12,1.37,2982.12,340.66
16,1.62,3642.99,380.94
20,1.78,4175.21,406.15
24,2.05,4725.56,449.66
28,2.20,5271.09,473.28
32,2.36,5720.04,490.47
37,2.49,6208.56,530.19
41,2.60,6553.19,548.82
45,2.71,6919.54,580.02
50,2.85,7294.64,588.24
55,2.90,7688.93,640.06
60,3.06,8096.64,658.98
63,3.07,8300.33,765.66
69,3.19,8700.37,911.27
75,3.37,9110.86,723.82
81,3.37,9464.92,791.64
87,3.30,9764.00,742.20
92,3.34,9997.25,782.49
97,3.35,10211.27,857.20
