# data_id,Time(s),FLOP(M),memory(M)
4,0.77,1322.63,250.35
8,1.17,2156.61,298.53
12,1.45,2835.11,336.19
16,1.63,3423.61,368.76
20,1.77,3949.60,496.35
24,1.89,4430.80,517.19
28,2.06,4876.93,469.86
32,2.26,5294.28,492.12
36,2.41,5688.28,519.46
40,2.49,6061.37,532.02
44,2.58,6417.80,615.11
48,2.72,6759.68,609.10
52,2.80,7085.93,594.28
56,2.84,7400.79,624.83
60,2.93,7704.30,664.11
64,3.03,7998.54,693.59
68,3.07,8283.15,710.59
72,3.20,8560.17,877.79
76,3.26,8828.66,731.65
80,3.33,9091.30,745.24
84,3.43,9347.63,755.61
88,2.82,9597.50,764.73
92,2.77,9841.76,782.94
96,2.82,10081.92,782.70
100,2.92,10316.41,796.59
