# data_id,Time(s),FLOP(M),memory(M)
5,3.18,1753.85,293.83
8,3.66,2420.66,314.03
11,4.20,2975.48,337.52
14,4.56,3485.53,404.83
17,4.91,3967.17,459.23
20,5.24,4279.78,421.85
23,5.52,4658.47,434.90
27,5.84,5132.01,452.64
33,6.29,5749.15,496.18
42,6.68,6603.10,553.45
60,7.15,7931.81,702.84
