# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
5,7852.15,11.80,0.20,701.49,464.83
8,12528.77,23.36,1.00,968.94,659.90
11,17185.59,37.41,1.35,1191.65,854.99
14,22117.69,46.34,1.52,1396.54,1028.57
17,27363.28,50.70,1.59,1590.13,1214.85
20,31045.67,52.76,1.65,1715.87,1375.16
23,35872.29,54.83,1.72,1868.26,1518.88
27,42473.96,57.10,1.82,2058.90,1766.45
33,52066.73,59.60,1.97,2307.50,2105.34
42,67247.59,61.41,2.13,2651.75,2652.71
60,94934.27,63.80,2.28,3188.04,3653.45
