# data_id,Time(s),FLOP(M),memory(M)
4,3.20,952.32,277.09
8,8.12,1551.96,335.58
12,9.23,2040.39,391.10
16,9.86,2464.37,443.47
20,10.69,2843.49,465.30
24,11.18,3190.48,509.60
28,10.74,3512.30,530.92
32,10.16,3813.43,600.96
36,10.10,4097.80,633.00
40,10.48,4367.12,626.67
44,10.93,4624.48,655.07
48,9.99,4871.39,698.37
52,8.84,5107.00,784.71
56,7.46,5334.43,788.71
60,6.85,5553.67,825.89
64,6.30,5766.24,837.06
68,5.30,5971.87,908.54
72,5.19,6172.03,908.38
76,4.11,6366.04,903.41
80,4.15,6555.84,895.30
84,4.08,6741.10,977.58
88,2.93,6921.69,1002.91
92,2.18,7098.23,991.31
96,2.22,7271.84,1028.45
100,2.32,7441.34,1163.37
