# data_id,Time(s),FLOP(M),memory(M)
4,1.54,376.21,208.68
8,2.29,556.22,228.07
12,2.61,745.79,249.33
16,2.89,911.12,276.26
20,3.14,1044.28,294.92
24,3.32,1181.99,315.90
28,3.46,1318.51,359.90
32,3.69,1430.89,351.85
37,3.82,1553.20,365.52
41,3.96,1639.51,386.22
45,4.05,1731.28,404.63
50,4.29,1825.29,415.91
55,4.42,1924.14,429.58
60,4.56,2026.41,439.96
63,4.65,2077.53,456.37
69,4.75,2178.01,469.72
75,4.92,2281.18,503.29
81,5.07,2370.32,540.34
87,5.17,2445.77,565.57
92,4.80,2504.75,578.04
97,4.94,2559.03,561.52
