# data_id,Time(s),FLOP(M),memory(M)
4,0.10,330.74,206.47
8,0.16,539.34,227.48
12,0.62,709.08,247.34
16,1.26,856.34,270.96
20,1.50,987.99,291.45
24,1.59,1108.45,331.20
28,1.68,1220.17,338.16
32,1.90,1324.70,354.11
36,1.94,1423.42,367.57
40,2.02,1516.92,375.46
44,2.14,1606.27,390.27
48,2.21,1692.00,402.33
52,2.24,1773.83,428.61
56,2.31,1852.83,441.17
60,2.39,1929.01,458.62
64,2.45,2002.88,465.22
68,2.53,2074.36,467.62
72,2.62,2143.96,497.63
76,2.61,2211.44,499.25
80,2.67,2277.47,514.80
84,2.76,2341.93,506.58
88,2.78,2404.79,566.42
92,2.89,2466.26,579.59
96,2.93,2526.73,566.15
100,2.96,2585.78,589.18
