# data_id,Time(s),FLOP(M),memory(M)
4,0.11,376.21,213.39
8,0.14,556.22,228.59
12,0.18,745.79,281.90
16,0.40,911.12,295.94
20,1.40,1044.28,312.29
24,1.59,1181.99,327.09
28,1.73,1318.51,336.60
32,1.91,1430.89,386.51
37,2.04,1553.20,375.60
41,2.09,1639.51,397.93
45,2.18,1731.28,454.23
50,2.29,1825.29,453.91
55,2.33,1924.14,454.71
60,2.46,2026.41,465.60
63,2.48,2077.53,474.47
69,2.57,2178.01,483.32
75,2.67,2281.18,498.39
81,2.76,2370.32,515.77
87,2.83,2445.77,533.31
92,2.89,2504.75,540.25
97,2.95,2559.03,553.54
