# data_id,Time(s),FLOP(M),memory(M)
4,0.14,376.21,208.35
8,0.40,556.22,228.55
12,0.99,745.79,259.95
16,1.33,911.12,275.86
20,1.47,1044.28,294.26
24,1.63,1181.99,315.55
28,1.69,1318.51,367.23
32,1.83,1430.89,349.46
37,2.03,1553.20,374.11
41,2.08,1639.51,381.69
45,2.18,1731.28,396.44
50,2.28,1825.29,411.79
55,2.36,1924.14,429.63
60,2.45,2026.41,454.25
63,2.46,2077.53,461.97
69,2.56,2178.01,488.03
75,2.65,2281.18,563.67
81,2.74,2370.32,571.82
87,2.83,2445.77,579.71
92,2.88,2504.75,573.71
97,2.98,2559.03,546.78
