# data_id,Time(s),FLOP(M),memory(M)
4,0.10,330.74,203.55
8,0.25,539.34,235.71
12,1.12,709.08,269.15
16,1.47,856.34,313.26
20,1.49,987.99,313.97
24,1.59,1108.45,323.13
28,1.69,1220.17,331.66
32,1.85,1324.70,346.98
36,1.94,1423.42,358.22
40,1.98,1516.92,371.92
44,2.11,1606.27,388.07
48,2.18,1692.00,403.51
52,2.26,1773.83,431.13
56,2.34,1852.83,443.63
60,2.37,1929.01,495.65
64,2.45,2002.88,513.06
68,2.53,2074.36,501.56
72,2.56,2143.96,499.42
76,2.63,2211.44,519.77
80,2.68,2277.47,521.08
84,2.72,2341.93,541.32
88,2.83,2404.79,533.60
92,2.84,2466.26,530.93
96,2.91,2526.73,544.72
100,2.97,2585.78,552.85
