# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
5,7852.15,10.38,0.12,438.56,464.50
8,12528.77,15.76,0.20,605.32,660.66
11,17185.59,23.64,0.61,744.09,848.75
14,22117.69,32.08,1.26,871.67,1035.79
17,27363.28,39.40,1.39,992.17,1221.99
20,31045.67,43.64,1.53,1070.39,1333.99
23,35872.29,47.42,1.62,1165.17,1521.00
27,42473.96,51.32,1.73,1283.71,1745.52
33,52066.73,54.65,1.87,1438.26,2114.12
42,67247.59,58.30,2.13,1652.27,2645.67
60,94934.27,61.32,2.44,1985.68,3646.70
