# data_id,Time(s),FLOP(M),memory(M)
4,0.10,330.74,205.03
8,0.18,539.34,227.47
12,0.83,709.08,249.25
16,1.35,856.34,291.06
20,1.42,987.99,310.32
24,1.51,1108.45,323.23
28,1.71,1220.17,331.65
32,1.83,1324.70,382.92
36,1.91,1423.42,400.14
40,2.10,1516.92,403.76
44,3.80,1606.27,410.87
48,4.04,1692.00,423.01
52,4.20,1773.83,433.54
56,4.35,1852.83,443.03
60,4.42,1929.01,442.80
64,4.58,2002.88,456.94
68,4.63,2074.36,504.91
72,4.82,2143.96,478.62
76,4.84,2211.44,493.98
80,5.00,2277.47,502.01
84,5.08,2341.93,520.60
88,5.14,2404.79,538.28
92,5.25,2466.26,547.28
96,5.34,2526.73,538.36
100,5.40,2585.78,553.05
