# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6926.56,9.52,0.70,376.21,425.64
8,11915.80,14.52,1.61,556.22,636.82
12,18471.63,25.45,1.92,745.79,896.97
16,25230.05,37.67,2.07,911.12,1130.82
20,31208.24,44.95,2.10,1044.28,1341.90
24,37910.37,50.81,2.27,1181.99,1600.43
28,44835.16,54.61,2.44,1318.51,1830.32
32,51260.72,56.88,2.51,1430.89,2064.49
37,58906.56,58.65,2.54,1553.20,2348.98
41,64812.17,59.85,2.19,1639.51,2570.81
45,71413.91,60.73,2.31,1731.28,2800.41
50,78727.34,61.63,2.39,1825.29,3068.49
55,86817.89,62.34,2.49,1924.14,3350.77
60,95556.46,62.92,2.55,2026.41,3668.93
63,100162.01,63.32,2.64,2077.53,3867.31
69,109681.38,63.23,2.78,2178.01,4188.18
75,119432.10,63.46,2.82,2281.18,4537.03
81,129000.74,63.68,2.94,2370.32,4964.90
87,137914.87,63.63,3.01,2445.77,5206.14
92,145619.49,63.54,3.04,2504.75,5488.15
97,153863.33,63.50,3.14,2559.03,5834.84
