# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
2,3175.22,5.94,0.04,196.07,2983.19
4,6350.89,8.65,0.06,330.74,3102.11
6,9526.56,10.55,0.08,441.98,3218.51
8,12702.22,13.39,0.10,539.34,3352.25
10,15877.95,16.86,0.11,627.85,3451.71
12,19053.57,21.25,0.13,709.08,3575.37
14,22229.25,25.80,0.14,784.94,3684.31
16,25404.93,30.06,0.16,856.34,3800.33
18,28580.61,34.64,0.17,923.88,3917.09
20,31756.39,38.53,0.19,987.99,4033.60
22,34931.98,41.94,0.20,1049.47,4149.80
24,38107.63,44.71,0.22,1108.45,4265.88
26,41283.30,47.13,0.24,1165.15,4381.96
28,44458.99,48.96,0.25,1220.17,4498.51
30,47634.71,50.48,0.27,1273.25,4615.00
32,50810.37,51.85,0.28,1324.70,4731.34
34,53986.05,53.14,0.30,1374.63,4847.84
36,57161.70,54.33,0.31,1423.42,4930.30
38,60337.40,55.19,0.33,1470.73,5045.90
40,63513.15,55.90,0.34,1516.92,5159.33
42,66688.73,56.59,0.35,1562.21,5272.82
44,69864.44,57.21,0.37,1606.27,5385.86
46,73040.11,57.76,0.39,1649.52,5500.99
48,76215.77,58.34,0.40,1692.00,5615.50
50,79391.68,58.77,0.41,1733.25,5727.67
52,82567.15,59.27,0.42,1773.83,5841.58
54,85742.79,59.70,0.43,1813.72,5954.88
56,88918.48,60.05,0.44,1852.83,6068.56
58,92094.16,60.40,0.47,1891.20,6182.56
60,95269.93,60.62,0.47,1929.01,6297.13
62,98445.50,60.96,0.48,1966.15,6409.65
64,101621.22,61.18,0.50,2002.88,6525.82
66,104796.85,61.42,0.52,2038.86,6632.68
68,107972.54,61.63,0.53,2074.36,6741.01
70,111148.24,62.00,0.54,2109.35,6852.92
72,114323.92,62.17,0.56,2143.96,6966.76
74,117499.60,62.43,0.57,2177.89,7079.14
76,120675.28,62.49,0.58,2211.44,7186.87
78,123850.92,62.67,0.59,2244.70,7300.02
80,127026.69,62.76,0.60,2277.47,7414.03
82,130202.29,62.86,0.61,2309.87,7526.11
84,133377.98,62.98,0.62,2341.93,7638.07
86,136553.65,63.06,0.63,2373.58,7753.19
88,139729.34,63.11,0.65,2404.79,7866.65
90,142905.03,63.13,0.66,2435.74,7975.96
92,146080.69,63.19,0.67,2466.26,8089.68
94,149256.34,63.23,0.69,2496.60,8201.51
96,152432.02,63.23,0.71,2526.73,8322.84
98,155607.68,63.25,0.70,2556.40,8442.21
100,158783.87,63.29,0.72,2585.78,8542.22
