# data_id,Time(s),FLOP(M),memory(M)
4,2.92,600.82,225.78
8,3.50,889.15,250.95
12,3.95,1193.00,288.63
16,4.33,1458.14,318.08
20,4.63,1671.99,356.01
24,4.67,1893.41,375.57
28,4.99,2113.23,399.34
32,5.21,2294.11,420.36
37,5.43,2490.96,436.37
41,5.61,2629.86,589.37
45,5.83,2777.54,507.53
50,6.03,2928.80,520.47
55,6.14,3087.89,550.47
60,6.41,3252.58,545.40
63,6.36,3334.91,536.80
69,6.11,3496.76,552.58
75,5.82,3663.09,573.28
81,5.70,3806.66,589.05
87,5.44,3928.04,618.33
92,4.80,4022.79,634.17
97,4.83,4109.81,646.17
