# data_id,Time(s),FLOP(M),memory(M)
4,0.25,528.30,218.48
8,1.15,862.27,260.65
12,1.58,1134.47,309.63
16,1.96,1370.85,325.81
20,2.13,1582.29,339.01
24,2.25,1775.88,360.39
28,2.40,1955.47,375.79
32,2.55,2123.57,396.18
36,2.65,2282.34,413.04
40,2.80,2432.76,430.31
44,2.91,2576.52,443.90
48,3.00,2714.48,463.34
52,3.07,2846.16,628.02
56,3.18,2973.29,496.82
60,3.29,3095.88,507.92
64,3.35,3214.76,550.36
68,3.42,3329.79,569.03
72,3.52,3441.79,558.17
76,3.56,3550.37,694.11
80,3.67,3656.61,577.65
84,3.43,3760.34,662.27
88,3.50,3861.47,692.88
92,3.48,3960.36,886.36
96,3.47,4057.63,733.17
100,2.72,4152.61,635.65
