# data_id,Time(s),FLOP(M),memory(M)
4,0.29,528.30,219.15
8,1.39,862.27,258.19
12,1.55,1134.47,285.88
16,2.01,1370.85,329.71
20,2.09,1582.29,435.49
24,2.21,1775.88,443.49
28,2.36,1955.47,445.14
32,3.56,2123.57,460.01
36,4.58,2282.34,503.91
40,4.75,2432.76,466.36
44,5.06,2576.52,449.33
48,5.17,2714.48,460.52
52,5.34,2846.16,492.52
56,5.51,2973.29,534.35
60,5.62,3095.88,538.61
64,5.73,3214.76,606.95
68,5.81,3329.79,582.20
72,5.98,3441.79,570.60
76,6.07,3550.37,592.42
80,6.24,3656.61,606.48
84,6.23,3760.34,608.05
88,6.09,3861.47,684.81
92,6.02,3960.36,940.97
96,5.84,4057.63,955.06
100,5.26,4152.61,955.66
