# data_id,Time(s),FLOP(M),memory(M)
4,0.97,600.82,224.80
8,1.54,889.15,266.41
12,1.70,1193.00,311.18
16,1.96,1458.14,324.46
20,2.13,1671.99,344.73
24,2.32,1893.41,366.51
28,2.53,2113.23,388.86
32,2.58,2294.11,410.29
37,2.79,2490.96,426.27
41,2.83,2629.86,439.80
45,3.02,2777.54,471.73
50,3.07,2928.80,488.12
55,3.21,3087.89,495.51
60,3.35,3252.58,507.30
63,3.39,3334.91,528.70
69,3.39,3496.76,677.15
75,3.48,3663.09,582.88
81,3.39,3806.66,600.11
87,3.51,3928.04,618.32
92,3.31,4022.79,644.43
97,2.60,4109.81,634.68
