# data_id,Time(s),FLOP(M),memory(M)
5,0.19,701.49,230.49
8,0.97,968.94,271.83
11,1.58,1191.65,275.84
14,1.68,1396.54,313.00
17,1.94,1590.13,326.87
20,2.20,1715.87,340.80
23,2.30,1868.26,356.04
27,2.45,2058.90,373.20
33,2.58,2307.50,428.01
42,2.69,2651.75,443.64
60,2.91,3188.04,520.37
