# data_id,Time(s),FLOP(M),memory(M)
4,0.15,528.30,222.36
8,0.22,862.27,266.83
12,0.70,1134.47,285.61
16,3.02,1370.85,302.26
20,5.40,1582.29,347.72
24,5.69,1775.88,363.05
28,6.04,1955.47,389.84
32,6.34,2123.57,436.08
36,6.73,2282.34,413.53
40,6.93,2432.76,437.01
44,7.16,2576.52,454.81
48,7.28,2714.48,463.25
52,7.35,2846.16,473.40
56,6.91,2973.29,500.39
60,6.96,3095.88,555.75
64,6.57,3214.76,727.61
68,6.75,3329.79,726.27
72,6.83,3441.79,739.17
76,6.95,3550.37,681.45
80,6.82,3656.61,567.67
84,6.57,3760.34,657.70
88,5.99,3861.47,637.59
92,5.65,3960.36,646.05
96,5.03,4057.63,659.81
100,5.03,4152.61,771.10
