# data_id,Time(s),FLOP(M),memory(M)
4,0.19,600.82,223.76
8,1.16,889.15,257.49
12,1.59,1193.00,298.71
16,1.80,1458.14,373.66
20,2.10,1671.99,375.50
24,2.23,1893.41,388.78
28,2.35,2113.23,444.65
32,2.57,2294.11,459.04
37,2.72,2490.96,475.16
41,2.82,2629.86,483.26
45,2.94,2777.54,497.84
50,3.06,2928.80,532.48
55,3.13,3087.89,543.82
60,3.29,3252.58,563.38
63,3.34,3334.91,581.62
69,3.46,3496.76,578.37
75,3.42,3663.09,608.85
81,3.31,3806.66,897.84
87,3.47,3928.04,632.21
92,3.38,4022.79,631.86
97,3.15,4109.81,658.22
