# data_id,Time(s),FLOP(M),memory(M)
4,0.21,528.30,217.96
8,1.43,862.27,253.56
12,1.83,1134.47,279.85
16,1.95,1370.85,302.73
20,2.05,1582.29,323.66
24,2.28,1775.88,349.13
28,2.35,1955.47,365.70
32,2.52,2123.57,392.13
36,2.66,2282.34,407.54
40,2.74,2432.76,432.46
44,2.87,2576.52,458.73
48,2.91,2714.48,460.07
52,3.06,2846.16,480.25
56,3.17,2973.29,512.81
60,3.23,3095.88,566.38
64,3.37,3214.76,530.45
68,3.39,3329.79,557.36
72,3.48,3441.79,589.06
76,3.53,3550.37,598.26
80,3.56,3656.61,607.39
84,3.41,3760.34,626.24
88,3.43,3861.47,858.68
92,3.57,3960.36,656.29
96,3.06,4057.63,680.15
100,3.10,4152.61,680.35
