# data_id,Time(s),FLOP(M),memory(M)
4,2.95,600.82,222.58
8,4.23,889.15,250.37
12,4.79,1193.00,278.38
16,5.17,1458.14,311.15
20,5.62,1671.99,343.71
24,5.92,1893.41,361.66
28,6.31,2113.23,397.61
32,6.60,2294.11,408.85
37,6.92,2490.96,436.85
41,6.90,2629.86,474.36
45,7.09,2777.54,485.54
50,6.61,2928.80,500.43
55,6.82,3087.89,509.08
60,6.55,3252.58,534.51
63,6.65,3334.91,556.66
69,6.81,3496.76,560.28
75,7.00,3663.09,593.19
81,6.91,3806.66,668.26
87,6.76,3928.04,651.89
92,6.04,4022.79,886.81
97,5.79,4109.81,659.29
