# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6926.56,10.33,1.99,600.82,428.30
8,11915.80,20.62,2.16,889.15,635.09
12,18471.63,38.29,2.40,1193.00,896.77
16,25230.05,49.49,2.87,1458.14,1131.15
20,31208.24,54.89,3.03,1671.99,1346.70
24,37910.37,57.59,2.63,1893.41,1586.26
28,44835.16,59.30,2.75,2113.23,1842.53
32,51260.72,60.60,2.73,2294.11,2075.28
37,58906.56,62.08,2.93,2490.96,2342.73
41,64812.17,62.58,3.02,2629.86,2568.59
45,71413.91,63.60,3.12,2777.54,2803.41
50,78727.34,64.31,3.23,2928.80,3054.44
55,86817.89,64.52,3.34,3087.89,3353.52
60,95556.46,64.80,3.44,3252.58,3667.55
63,100162.01,65.29,3.56,3334.91,3927.64
69,109681.38,65.66,3.66,3496.76,4219.94
75,119432.10,65.51,3.76,3663.09,4537.45
81,129000.74,65.56,3.73,3806.66,4878.68
87,137914.87,65.46,3.79,3928.04,5200.97
92,145619.49,65.33,3.43,4022.79,5497.14
97,153863.33,65.22,2.95,4109.81,5785.52
