# data_id,Time(s),FLOP(M),memory(M)
5,0.08,701.49,237.11
8,0.12,968.94,256.50
11,0.14,1191.65,279.14
14,0.17,1396.54,298.24
17,0.20,1590.13,317.72
20,0.23,1715.87,328.50
23,0.24,1868.26,342.76
27,0.27,2058.90,482.52
33,0.32,2307.50,400.98
42,0.38,2651.75,442.86
60,0.50,3188.04,501.52
