# data_id,Time(s),FLOP(M),memory(M)
5,8.93,5054.38,435.00
8,10.18,6975.06,581.27
11,10.98,8573.70,616.48
14,12.11,10043.73,731.46
17,12.38,11432.19,767.54
20,11.41,12333.80,842.54
23,11.35,13426.11,879.29
27,11.57,14792.07,953.01
33,12.49,16572.28,1046.29
42,12.07,19035.40,1360.07
60,11.20,22867.14,1339.09
