# data_id,Time(s),FLOP(M),memory(M)
5,0.13,1263.69,279.30
8,0.18,1743.92,332.49
11,0.22,2143.64,388.30
14,0.26,2511.22,408.39
17,0.31,2858.42,443.66
20,0.36,3083.90,471.73
23,0.41,3357.08,556.97
27,0.45,3698.72,605.31
33,0.48,4144.05,641.99
42,0.57,4760.35,689.05
60,0.73,5719.51,812.86
