# data_id,Time(s),FLOP(M),memory(M)
4,0.95,1322.63,265.25
8,2.76,2156.61,302.18
12,4.28,2835.11,341.15
16,4.67,3423.61,376.65
20,5.16,3949.60,399.86
24,5.57,4430.80,425.08
28,5.87,4876.93,455.38
32,6.11,5294.28,487.13
36,6.38,5688.28,510.74
40,6.64,6061.37,537.73
44,6.60,6417.80,548.64
48,6.44,6759.68,610.01
52,6.28,7085.93,605.93
56,6.39,7400.79,616.06
60,6.32,7704.30,640.11
64,6.45,7998.54,667.35
68,6.62,8283.15,694.53
72,6.72,8560.17,714.19
76,6.79,8828.66,745.93
80,5.95,9091.30,772.88
84,5.85,9347.63,818.04
88,5.23,9597.50,818.66
92,4.85,9841.76,799.20
96,4.60,10081.92,788.74
100,4.77,10316.41,817.39
