# data_id,avg_num_points,mean_iou,avg_time(s),avg_addmul(M),memory(M)
4,6350.89,10.29,0.97,1322.63,419.82
8,12702.22,17.89,1.41,2156.61,671.10
12,19053.57,29.66,1.57,2835.11,921.95
16,25404.93,40.12,1.76,3423.61,1169.93
20,31756.39,48.02,1.94,3949.60,1388.96
24,38107.63,52.67,2.09,4430.80,1636.13
28,44458.99,56.03,2.22,4876.93,1856.76
32,50810.37,58.50,2.36,5294.28,2098.37
36,57161.70,60.45,2.50,5688.28,2317.45
40,63513.15,62.08,2.62,6061.37,2551.39
44,69864.44,63.17,2.74,6417.80,2778.38
48,76215.77,64.16,2.82,6759.68,3018.96
52,82567.15,64.88,2.91,7085.93,3323.87
56,88918.48,65.32,2.95,7400.79,3507.82
60,95269.93,65.82,3.06,7704.30,3812.11
64,101621.22,66.15,3.17,7998.54,3989.58
68,107972.54,66.49,3.20,8283.15,4280.16
72,114323.92,66.68,3.30,8560.17,4464.28
76,120675.28,66.81,3.38,8828.66,4652.24
80,127026.69,66.92,3.43,9091.30,4884.25
84,133377.98,66.98,2.90,9347.63,5112.23
88,139729.34,67.11,3.38,9597.50,5339.98
92,146080.69,67.17,3.99,9841.76,5680.74
96,152432.02,67.20,4.05,10081.92,5859.09
100,158783.87,67.11,4.19,10316.41,6029.94
